,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1562434386,81,-53.16,-70.91,46.4,3.36
1,Khatanga,73,RU,1562434549,72,71.98,102.47,43.6,13.87
2,Longyearbyen,0,NO,1562434677,58,78.22,15.63,59.0,3.36
3,Luderitz,0,NA,1562434677,82,-26.65,15.16,57.2,14.99
4,Nelson Bay,90,AU,1562434677,100,-32.72,152.14,54.0,3.36
5,Tura,93,RU,1562434678,95,64.27,100.22,53.68,2.33
6,Souillac,0,FR,1562434678,45,45.6,-0.6,84.2,10.29
7,El Sauzal,90,AR,1562434678,62,-24.3,-64.96,51.8,10.29
8,Jamestown,98,AU,1562434678,88,-33.21,138.6,54.04,7.27
9,Barrow,0,AR,1562434678,49,-38.31,-60.23,53.32,8.84
10,Karratha,0,AU,1562434392,72,-20.74,116.85,62.86,2.44
11,Baiyin,0,CN,1562434678,54,36.55,104.13,59.0,6.71
12,Hermanus,100,ZA,1562434678,76,-34.42,19.24,64.99,21.99
13,Sumbe,0,AO,1562434679,86,-11.2,13.84,71.14,6.58
14,Northam,90,AU,1562434679,93,-31.65,116.67,53.6,4.7
15,Vaini,98,IN,1562434679,86,15.34,74.49,78.34,11.05
16,Yellowknife,75,CA,1562434679,55,62.45,-114.38,64.4,2.24
17,Chapais,75,CA,1562434679,48,49.78,-74.86,62.6,17.22
18,Te Anau,67,NZ,1562434680,80,-45.41,167.72,42.16,10.85
19,Vao,96,EE,1562434680,87,59.1,26.19,55.12,7.0
20,Lagoa,20,PT,1562434680,73,37.14,-8.45,80.01,23.04
21,Pleasanton,1,US,1562434680,56,37.66,-121.87,77.0,3.36
22,Airai,7,TL,1562434680,76,-8.93,125.41,63.94,6.76
23,Rikitea,99,PF,1562434381,71,-23.12,-134.97,70.42,22.37
24,Yuksekova,0,TR,1562434680,30,37.57,44.29,75.2,5.82
25,Kavaratti,100,IN,1562434680,80,10.57,72.64,83.74,18.07
26,Hobart,65,AU,1562434681,100,-42.88,147.33,43.0,3.36
27,Thompson,40,CA,1562434681,31,55.74,-97.86,73.4,9.17
28,Busselton,8,AU,1562434681,80,-33.64,115.35,50.0,16.13
29,Hilo,1,US,1562434506,64,19.71,-155.08,75.0,5.82
30,Ushuaia,40,AR,1562434681,86,-54.81,-68.31,41.0,4.7
31,Sapucaia,8,BR,1562434681,57,-21.99,-42.91,66.1,6.96
32,Nanortalik,87,GL,1562434681,75,60.14,-45.24,42.88,1.21
33,Avarua,3,CK,1562434682,64,-21.21,-159.78,71.6,10.29
34,Opuwo,0,NA,1562434659,20,-18.06,13.84,66.46,8.1
35,Coihaique,40,CL,1562434682,76,-45.58,-72.07,48.2,4.7
36,Bandarbeyla,94,SO,1562434682,35,9.49,50.81,90.04,17.31
37,Deputatskiy,79,RU,1562434682,80,69.3,139.9,48.46,4.16
38,Nanchang,100,CN,1562434682,92,28.68,115.89,76.54,2.24
39,Arraial do Cabo,40,BR,1562434683,56,-22.97,-42.02,68.0,20.8
40,Esperance,89,AU,1562434683,93,-33.86,121.89,48.2,11.41
41,Townsville,75,AU,1562434476,88,-19.26,146.82,68.0,1.12
42,Samarai,49,PG,1562434683,92,-10.62,150.67,73.3,2.91
43,Kangaatsiaq,43,GL,1562434683,73,68.31,-53.46,45.58,10.51
44,Kapaa,1,US,1562434683,94,22.08,-159.32,77.0,6.93
45,Fairbanks,1,US,1562434657,60,64.84,-147.72,73.99,1.86
46,Talnakh,0,RU,1562434683,66,69.49,88.39,53.6,17.9
47,Diamantino,55,BR,1562434684,33,-14.4,-56.44,74.02,10.94
48,Provideniya,59,RU,1562434398,54,64.42,-173.23,59.26,1.05
49,Atuona,41,PF,1562434684,79,-9.8,-139.03,81.22,20.76
50,Tuktoyaktuk,90,CA,1562434684,87,69.44,-133.03,44.6,26.4
51,Bannu,1,PK,1562434684,30,32.99,70.6,96.7,5.08
52,Albany,20,US,1562434684,52,42.65,-73.75,91.99,10.29
53,San Antonio,90,CL,1562434684,82,-33.58,-71.61,55.4,4.7
54,Itirapina,0,BR,1562434685,50,-22.26,-47.82,57.2,5.82
55,Deniliquin,79,AU,1562434685,80,-35.53,144.96,52.0,5.01
56,Itoman,75,JP,1562434685,94,26.12,127.67,78.8,13.87
57,Puerto Ayacucho,20,CO,1562434685,66,5.66,-67.63,86.0,9.86
58,Ostrovnoy,100,RU,1562434685,89,68.05,39.51,47.2,8.59
59,Cape Town,75,ZA,1562434685,93,-33.93,18.42,59.0,18.34
60,Ryotsu,0,JP,1562434685,78,38.08,138.43,71.6,5.82
61,Griffith,26,AU,1562434685,67,-34.29,146.06,57.2,14.99
62,Salinopolis,26,BR,1562434686,81,-0.61,-47.36,81.76,18.84
63,Imeni Poliny Osipenko,0,RU,1562434686,97,52.42,136.49,56.38,1.7
64,Fortuna,75,US,1562434686,77,40.6,-124.16,64.99,12.75
65,Puerto Ayora,75,EC,1562434686,69,-0.74,-90.35,77.0,9.17
66,Hualmay,96,PE,1562434686,86,-11.1,-77.61,63.22,13.78
67,Goderich,69,CA,1562434460,91,43.74,-81.71,87.01,10.11
68,Trenggalek,1,ID,1562434686,95,-8.05,111.71,67.9,4.0
69,Inuvik,40,CA,1562434687,62,68.36,-133.71,53.6,11.41
70,Vila Franca do Campo,40,PT,1562434687,73,37.72,-25.43,69.8,8.05
71,Butaritari,100,KI,1562434687,76,3.07,172.79,82.3,3.98
72,Omboue,1,GA,1562434687,87,-1.57,9.26,73.12,14.92
73,Kuna,1,US,1562434687,30,43.49,-116.42,82.99,3.36
74,Birjand,0,IR,1562434687,21,32.86,59.22,80.6,16.11
75,Tigre,0,AR,1562434687,62,-34.42,-58.58,54.0,8.05
76,Vicente Guerrero,75,MX,1562434688,47,16.93,-96.7,75.2,3.36
77,San Nicolas,84,PH,1562434688,88,16.07,120.76,77.26,1.59
78,Severo-Kurilsk,91,RU,1562434688,93,50.68,156.12,42.7,3.83
79,Ancud,75,CL,1562434688,100,-41.87,-73.83,46.4,8.05
80,Damietta,0,EG,1562434688,79,31.42,31.81,84.2,13.87
81,Bluff,91,AU,1562434688,81,-23.58,149.07,60.88,21.39
82,Yamada,40,JP,1562434688,94,36.58,137.08,71.01,4.7
83,Lebu,83,ET,1562434689,85,8.96,38.73,59.26,1.95
84,Chuy,75,UY,1562434689,68,-33.69,-53.46,48.1,12.75
85,Aklavik,40,CA,1562434689,66,68.22,-135.01,53.6,5.82
86,Taoudenni,4,ML,1562434689,5,22.68,-3.98,113.98,3.04
87,Hope,75,US,1562434689,66,33.67,-93.59,88.0,3.36
88,San Lorenzo,0,HN,1562434689,38,13.43,-87.45,96.16,3.6
89,Pevek,25,RU,1562434475,77,69.7,170.27,46.66,26.78
90,Paamiut,91,GL,1562434390,81,61.99,-49.67,45.22,6.08
91,Geraldton,40,CA,1562434448,42,49.72,-86.95,66.2,5.82
92,Wuan,100,CN,1562434690,32,31.68,112.0,79.6,2.89
93,Kenai,1,US,1562434690,77,60.55,-151.26,70.0,5.82
94,Fukue,75,JP,1562434690,94,35.03,136.69,78.01,16.11
95,Carutapera,47,BR,1562434690,76,-1.2,-46.02,83.02,9.19
96,Kasongo-Lunda,0,CD,1562434690,29,-6.48,16.82,74.74,2.66
97,Hervey Bay,40,AU,1562434691,93,-25.3,152.85,62.01,9.17
98,Tasiilaq,5,GL,1562434691,81,65.61,-37.64,44.6,11.41
99,Upernavik,99,GL,1562434417,71,72.79,-56.15,44.68,7.11
100,Bredasdorp,88,ZA,1562434691,63,-34.53,20.04,64.99,24.16
101,Chokurdakh,100,RU,1562434691,81,70.62,147.9,41.62,13.71
102,Severodvinsk,40,RU,1562434691,82,64.56,39.82,60.8,4.47
103,Bambous Virieux,40,MU,1562434691,78,-20.34,57.76,73.4,6.93
104,Saint George,20,GR,1562434692,25,39.45,22.34,89.6,11.41
105,Nome,1,US,1562434692,66,30.04,-94.42,91.99,1.97
106,Monrovia,75,LR,1562434692,78,6.33,-10.8,80.6,12.75
107,Bintulu,75,MY,1562434692,94,3.17,113.03,77.0,4.7
108,Clyde River,90,CA,1562434692,100,70.47,-68.59,35.6,19.46
109,Cherskiy,61,RU,1562434692,48,68.75,161.3,65.56,14.9
110,Narsaq,75,GL,1562434692,51,60.91,-46.05,59.0,4.7
111,Kutum,50,SD,1562434693,22,14.2,24.66,90.22,3.89
112,Verkhniye Tatyshly,77,RU,1562434693,92,56.29,55.86,53.86,6.98
113,Mataura,80,NZ,1562434693,85,-46.19,168.86,42.34,14.56
114,Port Alfred,15,ZA,1562434693,58,-33.59,26.89,66.0,5.01
115,Touros,40,BR,1562434693,62,-5.2,-35.46,84.2,11.41
116,Mareeba,27,AU,1562434693,93,-16.99,145.42,66.2,10.29
117,Sept-Iles,75,CA,1562434458,64,50.2,-66.38,75.2,8.05
118,Huanren,22,CN,1562434693,92,41.26,125.37,61.78,1.07
119,Tweed,75,CA,1562434694,66,44.48,-77.31,84.99,2.24
120,Fomboni,18,KM,1562434694,78,-12.28,43.74,77.62,12.24
121,Bay Roberts,75,CA,1562434694,72,47.58,-53.28,68.0,6.93
122,Lorengau,99,PG,1562434694,88,-2.02,147.27,77.26,10.67
123,Wanning,75,AT,1562434694,30,48.64,13.53,84.2,11.41
124,Cordoba,24,AR,1562434606,41,-27.78,-67.24,56.38,7.85
125,Leisure City,75,US,1562434695,78,37.49,-88.44,86.0,3.36
126,Entre Rios,0,BR,1562434695,50,-11.94,-38.08,86.98,4.88
127,East London,0,ZA,1562434695,87,-33.02,27.91,59.0,12.75
128,Miri,47,NG,1562434695,57,10.31,9.75,82.84,3.09
129,Hithadhoo,86,MV,1562434497,67,-0.6,73.08,84.46,7.27
130,Susanville,1,US,1562434695,31,40.42,-120.65,78.01,6.62
131,Agar,100,IN,1562434695,85,23.71,76.02,76.36,12.19
132,San Cristobal,26,HN,1562434695,42,14.68,-86.92,85.72,9.64
133,New Norfolk,65,AU,1562434696,100,-42.78,147.06,43.0,3.36
134,Flinders,90,AU,1562434696,100,-34.58,150.85,55.99,6.93
135,Kinshasa,20,CD,1562434696,69,-4.32,15.31,82.4,5.82
136,Puerto del Rosario,20,ES,1562434696,73,28.5,-13.86,78.8,18.34
137,Sembakung,1,ID,1562434434,97,3.82,117.25,73.3,0.85
138,Kavieng,100,PG,1562434696,78,-2.57,150.8,79.78,6.89
139,Dingle,95,PH,1562434438,88,11.0,122.67,74.74,3.58
140,Onega,62,RU,1562434696,84,63.91,38.09,57.64,7.34
141,Kaeo,9,NZ,1562434696,94,-35.1,173.78,42.01,5.01
142,Honiara,20,SB,1562434697,94,-9.43,159.96,69.8,3.36
143,Mandapam,100,IN,1562434697,66,9.28,79.12,86.26,17.34
144,Katsuura,75,JP,1562434400,83,33.93,134.5,73.4,10.29
145,Launceston,94,AU,1562434697,100,-41.43,147.14,39.0,5.82
146,Walvis Bay,0,NA,1562434697,82,-22.95,14.51,66.2,4.7
147,Vila Velha,75,BR,1562434402,66,-3.71,-38.6,86.0,14.99
148,Lompoc,90,US,1562434697,82,34.64,-120.46,64.99,8.05
149,Faanui,8,PF,1562434429,81,-16.48,-151.75,77.44,15.08
150,Dikson,8,RU,1562434697,89,73.51,80.55,34.6,15.79
151,Lazaro Cardenas,75,MX,1562434698,44,28.39,-105.62,82.99,5.82
152,Phan Thiet,0,VN,1562434698,87,10.93,108.1,74.38,5.68
153,Pangody,99,RU,1562434698,54,65.85,74.49,60.88,22.82
154,Vardo,40,US,1562434698,58,39.62,-77.74,91.4,4.7
155,Kruisfontein,15,ZA,1562434698,51,-34.0,24.73,60.52,11.45
156,Tiksi,63,RU,1562434698,84,71.64,128.87,38.38,6.22
157,Saint-Philippe,90,CA,1562434698,78,45.36,-73.48,82.99,11.41
158,Sudzha,0,RU,1562434699,72,51.19,35.27,56.02,7.96
159,Coquimbo,90,CL,1562434699,71,-29.95,-71.34,68.0,4.7
160,Norman Wells,90,CA,1562434699,93,65.28,-126.83,55.4,17.22
161,Dukat,0,AL,1562434699,46,40.25,19.57,82.99,8.01
162,Curuca,32,BR,1562434699,88,-2.52,-61.06,83.38,3.27
163,Shenzhen,40,CN,1562434699,89,22.54,114.05,86.0,17.9
164,Carnarvon,0,ZA,1562434699,40,-30.97,22.13,52.06,15.21
165,Guerrero Negro,13,MX,1562434700,85,27.97,-114.04,63.58,9.91
166,Leningradskiy,0,RU,1562434700,68,69.38,178.42,52.78,9.46
167,Whitecourt,90,CA,1562434640,93,54.14,-115.68,53.6,10.29
168,Kijang,20,KR,1562434468,64,35.24,129.21,73.4,18.34
169,Benjamin Hill,62,MX,1562434700,41,30.17,-111.1,91.99,3.0
170,Urusha,67,RU,1562434700,68,54.05,122.9,57.28,2.06
171,Pisco,20,PE,1562434700,30,-13.71,-76.2,71.6,9.17
172,Vanavara,91,RU,1562434700,91,60.35,102.28,58.9,5.39
173,Port Hardy,90,CA,1562434700,93,50.7,-127.42,57.2,4.7
174,Ozark,40,US,1562434701,74,37.02,-93.21,88.0,3.36
175,Ohara,74,JP,1562434701,87,35.12,135.83,73.99,1.99
176,Laguna,75,BZ,1562434701,66,16.17,-88.94,87.8,6.93
177,Leh,0,IN,1562434701,48,34.16,77.58,37.12,4.65
178,Husavik,60,CA,1562434701,38,50.56,-96.99,71.01,1.12
179,Beberibe,75,BR,1562434701,66,-4.18,-38.13,86.0,14.99
180,Banda Aceh,47,ID,1562434502,71,5.56,95.32,83.56,5.88
181,Lakes Entrance,8,AU,1562434702,96,-37.88,147.99,39.0,6.46
182,Georgetown,40,GY,1562434702,70,6.8,-58.16,87.8,9.17
183,Ahipara,86,NZ,1562434702,100,-35.17,173.16,42.01,9.01
184,Bilibino,17,RU,1562434702,51,68.06,166.44,62.32,11.41
185,Castro,75,CL,1562434702,100,-42.48,-73.76,46.4,8.05
186,Mar del Plata,0,AR,1562434702,61,-46.43,-67.52,50.08,12.26
187,Ngunguru,0,NZ,1562434702,94,-35.62,174.5,39.0,5.01
188,Daru,34,PG,1562434703,92,-9.07,143.21,73.48,6.06
189,Hasaki,75,JP,1562434703,100,35.73,140.83,68.0,19.46
190,Guna,100,IN,1562434407,92,24.65,77.32,75.46,12.62
191,Turhal,40,TR,1562434703,46,40.38,36.08,71.6,17.22
192,Matam,87,SN,1562434703,29,15.66,-13.26,99.76,9.48
193,Portland,75,US,1562434703,55,43.66,-70.25,93.0,8.05
194,Port Elizabeth,90,US,1562434704,88,39.31,-74.98,93.99,14.99
195,Jiwani,0,PK,1562434704,84,25.05,61.74,84.82,7.7
196,Bloemfontein,0,ZA,1562434704,23,-29.12,26.22,50.0,4.7
197,Merauke,0,ID,1562434704,84,-8.49,140.4,77.08,18.21
198,Acajutla,0,SV,1562434704,55,13.59,-89.83,84.46,6.67
199,Salto,20,BR,1562434527,51,-23.2,-47.29,66.99,5.82
200,La Ronge,75,CA,1562434704,43,55.1,-105.3,69.8,9.17
201,Kodiak,40,US,1562434704,39,39.95,-94.76,82.0,10.29
202,Cayenne,75,GF,1562434514,66,4.94,-52.33,87.8,12.75
203,Caravelas,78,BR,1562434705,81,-17.73,-39.27,74.74,18.95
204,Grand Gaube,40,MU,1562434705,78,-20.01,57.66,73.4,6.93
205,Pangnirtung,90,CA,1562434705,100,66.15,-65.72,41.0,5.82
206,Corinto,20,CO,1562434705,54,3.17,-76.26,84.2,3.36
207,Kumluca,80,TR,1562434705,47,36.37,30.29,68.98,2.44
208,Sola,90,TZ,1562434705,46,-3.17,33.8,74.92,7.29
209,Bethel,1,US,1562434706,82,60.79,-161.76,66.2,8.05
210,Sur,30,OM,1562434706,53,22.57,59.53,88.06,12.44
211,Tevaitoa,9,PF,1562434706,81,-16.78,-151.5,76.72,14.83
212,Atar,13,MR,1562434706,12,20.52,-13.05,107.68,9.24
213,Saldanha,0,PT,1562434706,32,41.42,-6.55,80.86,11.52
214,Nabire,88,ID,1562434706,98,-3.36,135.5,67.9,4.07
215,Kodinar,87,IN,1562434707,76,20.79,70.7,83.2,15.28
216,Severo-Yeniseyskiy,53,RU,1562434707,90,60.37,93.04,58.0,9.01
217,Kahului,1,US,1562434707,69,20.89,-156.47,77.0,3.36
218,Lagunas,100,PE,1562434707,98,-5.23,-75.68,72.94,2.3
219,Cabo San Lucas,75,MX,1562434662,69,22.89,-109.91,93.99,2.24
220,Rakitnoye,0,RU,1562434707,42,50.83,35.83,66.2,8.95
221,Nikolskoye,20,RU,1562434707,62,59.7,30.79,59.0,6.71
222,Qiryat Yam,20,IL,1562434707,74,32.85,35.07,82.4,6.93
223,Sladkovo,72,RU,1562434707,96,55.53,70.34,56.92,14.32
224,Pindiga,44,NG,1562434708,71,9.98,10.93,82.3,9.28
225,Grindavik,0,IS,1562434708,58,63.84,-22.43,63.0,10.29
226,Komsomolskiy,44,RU,1562434416,58,67.55,63.78,54.76,14.25
227,Mitsamiouli,0,KM,1562434708,79,-11.38,43.28,77.62,16.28
228,Ä°stisu,40,AZ,1562434708,47,40.95,48.07,80.6,3.18
229,Mananjary,6,MG,1562434708,59,-19.16,46.8,62.68,2.3
230,Aktau,20,KZ,1562434708,34,43.65,51.16,82.4,15.66
231,Cidreira,99,BR,1562434709,60,-30.17,-50.22,49.36,15.43
232,Linkoping,85,SE,1562434599,82,58.41,15.62,62.6,5.82
233,Waingapu,0,ID,1562434709,79,-9.65,120.26,66.1,12.46
234,Nouakchott,100,MR,1562434709,74,18.08,-15.98,78.8,17.22
235,Toamasina,75,MG,1562434709,94,-18.17,49.38,69.8,2.24
236,Kaitangata,82,NZ,1562434709,67,-46.28,169.85,39.99,11.01
237,Kupang,0,ID,1562434710,73,-10.16,123.6,69.8,6.93
238,Owando,86,CG,1562434710,87,-0.49,15.91,75.64,2.86
239,Acari,97,BR,1562434710,28,-6.44,-36.64,94.0,6.8
240,Baker City,1,US,1562434710,35,44.77,-117.83,73.4,6.93
241,Kedougou,97,SN,1562434710,64,12.56,-12.19,87.16,3.42
242,Yumen,100,CN,1562434710,48,40.29,97.04,65.74,6.67
243,Stephenville,75,CA,1562434710,72,48.55,-58.59,66.2,17.22
244,Taltal,100,CL,1562434423,73,-25.41,-70.49,57.46,4.25
245,Sinnamary,19,GF,1562434415,78,5.38,-52.96,81.04,14.32
246,Sabha,0,LY,1562434711,11,27.03,14.43,92.56,6.29
247,Pilar,0,AR,1562434711,62,-34.46,-58.91,54.0,8.05
248,Alofi,18,NU,1562434711,88,-19.06,-169.92,66.2,4.7
249,San-Pedro,53,CI,1562434711,85,4.75,-6.64,76.0,6.93
250,Vrangel,0,RU,1562434711,96,42.73,133.08,53.68,2.13
251,Lavrentiya,24,RU,1562434711,53,65.58,-170.99,63.4,3.29
252,Aksay,31,KZ,1562434712,48,51.17,53.01,64.48,5.17
253,Sao Joao da Barra,75,BR,1562434712,53,-21.64,-41.05,73.4,17.22
254,Polunochnoye,14,RU,1562434712,86,60.87,60.43,53.32,4.7
255,Qaqortoq,75,GL,1562434712,51,60.72,-46.03,59.0,4.7
256,Luga,71,RU,1562434712,80,58.74,29.85,54.22,2.82
257,Lavumisa,0,ZA,1562434712,48,-27.31,31.88,57.46,3.8
258,Saint-Pierre,0,FR,1562434712,28,48.95,4.24,89.6,10.29
259,Victoria,75,BN,1562434713,88,5.28,115.24,80.6,3.13
260,Birao,0,CF,1562434713,58,10.3,22.78,83.92,5.82
261,Isangel,0,VU,1562434713,85,-19.55,169.27,74.02,23.62
262,Boden,75,SE,1562434713,81,65.83,21.69,53.6,1.12
263,San Patricio,0,PY,1562434713,48,-26.98,-56.83,52.6,3.76
264,Hvide Sande,47,DK,1562434713,67,56.01,8.13,59.0,23.04
265,Sinegorye,100,RU,1562434713,73,62.09,150.53,51.16,3.89
266,Comodoro Rivadavia,0,AR,1562434714,51,-45.87,-67.48,60.8,11.41
267,Karak,0,JO,1562434714,39,31.18,35.7,82.4,11.41
268,Beringovskiy,59,RU,1562434527,84,63.05,179.32,51.16,5.03
